E47G078002,1,2,3,4,5,6,7
E47G069002,1,1,2,3,4,5,6
E47G066009,1,1,2,3,4,5,6
E47G063007,1,2,3,4,5,6,7
E46G091092,1,1,1,2,3,3,4
E46G083094,1,2,2,3,4,5,6
E47G065008,1,1,2,3,4,5,6
E46G061092,1,2,2,3,4,5,6
E46G070086,1,1,1,1,2,2,3
E47G086003,1,1,1,2,3,3,4
E46G067095,1,2,2,2,3,4,5
E46G074090,1,2,2,3,4,4,5
E46G078096,1,2,3,4,0,5,6
E47G071002,1,1,2,3,4,5,6
E47G076008,1,2,3,3,4,5,6
E47G064008,1,2,3,4,5,6,7
E46G086090,1,2,2,3,3,3,4
E46G071090,1,2,2,3,4,4,5
E46G073090,1,2,2,3,4,4,5
E46G092094,1,0,0,0,0,0,0
E47G070002,1,1,2,3,4,5,6
E46G082088,1,2,2,3,3,3,4
E46G089096,1,0,0,0,0,0,0
E46G088090,1,2,2,3,3,3,4
E46G087086,1,2,2,3,3,3,4
E46G061095,1,2,2,2,3,3,4
E46G077089,1,1,1,2,3,3,4
E47G084002,1,2,3,4,5,6,7
E46G082094,1,2,2,3,4,5,6
E46G069089,1,2,2,3,4,4,5
E47G090001,1,0,0,0,0,0,0
E46G059094,1,1,1,1,2,2,3
E46G065095,1,2,2,2,3,3,4
E46G083096,1,2,3,4,5,6,7
E47G061007,1,2,2,3,4,5,6
E46G079085,1,1,1,2,0,3,3
E46G088087,1,2,2,3,3,3,4
E46G089090,1,2,2,3,3,3,4
E46G072094,1,2,2,3,4,5,6
E46G087096,1,2,3,4,5,5,6
E46G072091,1,2,2,3,4,5,6
E46G082096,1,2,3,4,5,6,7
E46G069096,1,2,3,4,5,6,7
E46G084090,1,2,2,3,3,3,4
E46G073085,1,1,1,2,3,3,4
E47G057003,1,1,1,2,3,4,5
E46G068089,1,2,2,3,4,4,5
E47G076006,1,2,3,4,5,6,7
E47G074013,1,0,0,0,0,0,0
E47G084004,1,1,1,2,3,4,5
E46G074087,1,1,1,2,2,2,3
E46G088086,1,0,0,0,0,0,0
E46G066089,1,2,2,3,4,4,5
E46G086091,1,2,2,3,3,3,4
E47G067012,1,2,2,3,4,4,5
E47G072013,1,0,0,0,0,0,0
E47G085006,1,0,0,0,0,0,0
E47G062011,1,1,1,2,3,3,4
E46G059092,1,1,1,2,3,4,5
E46G088093,1,2,2,3,4,4,5
E46G085085,1,2,2,3,3,3,4
E46G079086,1,1,1,2,0,3,4
E46G065094,1,2,2,2,3,3,4
E46G075087,1,1,1,2,2,2,3
E47G070009,1,1,2,3,4,5,6
E47G068004,1,1,2,3,4,5,6
E47G069009,1,1,2,3,4,5,6
E46G068094,1,2,2,2,3,4,5
E47G070007,1,1,2,3,4,5,6
E46G079087,1,1,1,2,0,3,4
E47G080004,1,1,2,3,4,5,6
E47G064004,1,2,3,4,5,6,7
E47G079005,1,1,2,3,4,5,6
E46G080087,1,1,1,2,0,3,4
E46G094092,1,0,0,0,0,0,0
E46G067089,1,2,2,3,4,4,5
E47G080010,1,2,2,2,3,3,4
E47G075002,1,1,2,3,4,5,6
E46G071091,1,2,2,3,4,4,5
E46G092090,1,2,2,3,3,3,4
E46G073084,1,0,0,0,0,0,0
E46G073096,1,2,3,4,5,6,7
E46G093093,1,0,0,0,0,0,0
E47G083010,1,0,0,0,0,0,0
E46G072095,1,2,2,3,4,4,5
E47G059003,1,1,1,2,3,4,5
E46G090090,1,1,1,2,2,2,3
E46G083095,1,2,2,3,4,4,5
E46G083088,1,2,2,3,3,3,4
E46G068096,1,2,3,4,5,6,7
E46G078087,1,1,1,2,3,3,4
E47G058001,1,1,1,2,3,4,5
E47G066004,1,1,2,3,4,5,6
E47G073002,1,1,2,3,4,5,6
E47G066006,1,1,2,3,4,5,6
E47G084008,1,0,0,0,0,0,0
E47G068001,1,2,3,4,5,6,7
E46G084095,1,2,2,3,4,4,5
E46G068088,1,2,2,2,3,3,4
E46G084091,1,2,2,3,3,4,5
E47G071010,1,1,1,2,3,4,5
E47G081010,1,2,2,2,3,3,4
E46G066087,1,1,1,1,2,2,3
E46G080086,1,1,1,2,0,3,4
E46G063094,1,2,2,2,3,3,4
E47G068003,1,1,2,3,4,5,6
E46G080096,1,2,3,4,0,5,6
E47G074001,1,1,2,3,4,5,6
E46G064089,1,2,2,3,4,4,5
E47G070010,1,1,1,2,3,4,5
E47G064013,1,0,0,0,0,0,0
E47G084009,1,0,0,0,0,0,0
E47G078012,1,1,1,2,3,3,3
E47G083008,1,2,2,2,3,4,5
E46G094091,1,0,0,0,0,0,0
E46G078093,1,2,2,3,0,4,5
E46G066092,1,2,2,3,4,4,5
E47G062005,1,2,2,3,4,5,6
E46G081094,1,2,2,3,4,5,6
E47G079012,1,2,2,3,4,4,4
E47G082004,1,1,2,3,4,5,6
E46G061089,1,0,0,0,0,0,0
E47G064012,1,2,2,3,4,5,6
E46G076085,1,1,1,2,2,2,3
E47G069006,1,1,2,3,4,5,6
E46G095091,1,0,0,0,0,0,0
E46G076087,1,1,1,2,3,3,4
E47G076007,1,2,3,4,5,6,7
E47G061012,1,2,2,3,4,4,5
E46G080093,1,2,2,3,0,4,5
E46G062091,1,2,2,3,4,4,5
E46G076089,1,2,2,3,4,4,5
E46G085094,1,2,2,3,4,4,5
E46G059095,1,1,1,1,2,2,3
E46G070094,1,2,2,2,3,4,5
E46G065096,1,2,2,3,4,5,6
E46G075094,1,2,2,3,4,5,6
E46G086085,1,0,0,0,0,0,0
E47G079007,1,2,3,4,5,6,7
E46G088091,1,2,2,3,4,4,5
E47G077012,1,1,1,2,3,3,3
E46G077084,1,1,1,2,3,3,4
E47G064006,1,2,3,4,5,6,7
E47G069004,1,1,2,3,4,5,6
E47G076011,1,1,1,1,2,2,3
E46G066094,1,2,2,2,3,4,5
E47G062002,1,2,2,3,4,5,6
E46G069086,1,1,1,1,2,2,3
E47G059004,1,1,1,2,3,3,4
E46G081086,1,1,1,2,0,3,4
E47G079010,1,2,2,2,3,3,4
E47G064003,1,2,2,3,4,5,6
E47G074012,1,2,2,2,3,3,3
E46G081093,1,2,2,3,4,5,6
E47G058003,1,1,1,2,3,4,5
E47G076005,1,2,3,4,5,6,7
E46G085093,1,2,2,3,4,5,6
E46G075091,1,2,2,3,4,5,6
E47G078001,1,2,3,4,5,6,7
E47G079002,1,2,3,4,5,6,7
E46G094089,1,0,0,0,0,0,0
E47G079009,1,2,3,3,4,5,6
E46G093094,1,0,0,0,0,0,0
E47G074008,1,2,3,3,4,5,6
E47G057008,1,1,1,2,3,3,4
E47G073008,1,2,3,3,4,5,6
E46G077090,1,1,1,2,3,3,4
E46G072085,1,1,1,2,3,3,4
E46G081084,1,1,1,2,0,3,4
E46G078094,1,2,2,3,0,4,5
E47G075011,1,1,1,1,2,2,3
E47G058006,1,1,1,1,2,2,3
E46G060094,1,2,2,2,3,3,4
E46G082093,1,2,2,3,4,5,6
E47G065002,1,1,1,2,3,4,5
E46G094090,1,0,0,0,0,0,0
E46G073091,1,2,2,3,4,5,6
E46G069093,1,2,2,2,3,3,4
E47G059009,1,1,1,1,2,2,3
E46G083085,1,2,2,3,3,3,4
E47G064009,1,2,3,4,5,6,7
E47G083004,1,1,1,2,3,4,5
E46G073095,1,2,2,3,4,4,5
E46G071087,1,1,1,1,2,2,3
E47G082003,1,2,2,3,4,5,6
E47G083009,1,0,0,0,0,0,0
E46G063089,1,2,2,3,4,4,5
E47G076004,1,1,2,3,4,5,6
E46G078092,1,2,2,3,3,4,5
E47G076009,1,1,2,2,3,4,5
E46G086094,1,2,2,3,4,4,5
E46G084086,1,2,2,3,3,3,4
E47G064001,1,2,2,3,4,5,6
E46G084087,1,2,2,3,3,3,4
E47G086006,1,0,0,0,0,0,0
E47G080002,1,2,3,4,5,6,7
E47G086005,1,0,0,0,0,0,0
E46G057095,1,1,1,1,2,2,3
E46G064090,1,2,2,3,4,4,5
E47G071005,1,1,2,3,4,5,6
E47G082001,1,2,3,4,5,6,7
E47G075003,1,1,2,3,4,5,6
E46G084089,1,2,2,3,3,3,4
E47G086007,1,0,0,0,0,0,0
E47G062013,1,0,0,0,0,0,0
E46G084093,1,2,2,3,4,5,6
E46G081085,1,1,1,2,0,3,4
E46G081092,1,2,2,3,3,4,5
E46G077087,1,1,1,2,3,3,4
E47G067004,1,1,2,3,4,5,6
E47G073004,1,1,2,3,4,5,6
E46G085089,1,2,2,3,3,3,4
E46G062096,1,2,2,3,4,5,6
E46G072092,1,2,2,3,4,5,6
E47G075012,1,1,1,2,3,3,3
E46G076086,1,1,1,2,3,3,4
E47G073007,1,2,3,4,5,6,7
E46G079088,1,2,2,3,0,4,5
E47G066011,1,1,1,2,3,4,5
E46G087088,1,2,2,3,3,3,4
E46G091089,1,1,1,2,2,2,3
E46G089094,1,2,2,3,4,4,5
E47G078005,1,1,2,3,4,5,6
E46G063088,1,2,2,2,3,3,4
E46G085095,1,2,2,3,4,4,5
E46G060090,1,2,2,3,4,5,6
E46G077095,1,2,2,3,4,4,5
E46G087095,1,2,2,3,4,4,5
E46G092092,1,0,0,0,0,0,0
E46G060096,1,2,2,3,4,5,6
E47G063005,1,2,3,4,5,5,6
E46G076092,1,2,2,3,4,5,6
E47G080012,1,0,0,0,0,0,0
E46G088094,1,2,2,3,4,4,5
E47G065009,1,1,2,3,4,5,6
E47G068012,1,2,2,3,4,4,5
E47G080009,1,2,2,2,3,4,5
E47G066003,1,1,1,2,3,4,5
E46G075095,1,1,1,2,3,3,4
E47G076010,1,1,1,1,2,2,3
E47G058009,1,1,1,2,3,3,4
E47G077008,1,2,3,3,4,5,6
E46G065088,1,2,2,2,3,3,4
E47G079003,1,2,3,4,5,6,7
E47G081008,1,2,2,2,3,4,5
E47G069008,1,1,2,3,4,5,6
E46G093090,1,2,2,3,3,3,4
E46G071096,1,2,3,4,5,6,7
E47G062003,1,2,2,3,4,5,6
E47G058007,1,1,1,2,3,3,3
E46G064091,1,2,2,3,4,4,5
E46G074093,1,2,2,3,4,5,6
E46G086088,1,2,2,3,3,3,4
E46G072087,1,1,1,2,3,3,4
E46G087094,1,2,2,3,4,4,5
E47G087005,1,0,0,0,0,0,0
E46G073087,1,1,1,2,3,3,4
E46G062095,1,2,2,2,3,3,4
E46G087090,1,2,2,3,3,3,4
E47G068002,1,1,2,3,4,5,6
E46G065089,1,2,2,3,4,4,5
E47G081002,1,2,3,4,5,6,7
E47G067002,1,1,2,3,4,5,6
E46G067087,1,1,1,1,2,2,3
E47G077002,1,1,2,3,4,5,6
E47G059001,1,1,1,2,3,4,5
E46G061091,1,2,2,3,4,5,6
E46G070091,1,2,2,3,4,4,5
E47G061002,1,2,2,3,4,5,6
E47G074006,1,2,3,4,5,6,7
E46G081096,1,2,3,4,5,6,7
E47G063006,1,2,3,4,5,6,7
E47G076003,1,1,2,3,4,5,6
E46G084094,1,2,2,3,4,5,6
E46G077085,1,1,1,2,3,3,4
E47G067010,1,1,2,3,4,5,6
E46G082091,1,2,2,3,3,4,5
E47G083007,1,2,2,2,3,4,5
E46G086095,1,2,2,3,4,4,5
E46G072096,1,2,3,4,5,6,7
E46G092089,1,2,2,3,3,3,4
E46G076095,1,2,2,3,4,4,5
E46G090092,1,1,1,2,3,3,4
E47G078004,1,1,2,3,4,5,6
E46G070090,1,2,2,3,4,4,5
E47G059002,1,1,1,2,3,4,5
E46G086089,1,2,2,3,3,3,4
E46G071085,1,1,1,1,2,2,3
E46G088095,1,2,2,3,4,4,5
E46G074085,1,1,1,2,2,2,2
E46G093088,1,0,0,0,0,0,0
E47G075004,1,1,2,3,4,5,6
E46G078089,1,1,1,2,3,3,4
E46G091093,1,1,1,2,3,3,4
E46G091088,1,1,1,2,2,2,3
E46G075092,1,2,2,3,4,5,6
E46G061094,1,2,2,2,3,3,4
E47G077009,1,1,2,2,3,4,5
E47G068013,1,0,0,0,0,0,0
E46G083090,1,2,2,3,3,3,4
E46G066095,1,2,2,2,3,4,5
E47G079011,1,2,2,2,3,3,4
E47G080001,1,2,3,4,5,6,7
E47G066012,1,2,2,3,4,4,5
E47G061010,1,1,1,2,3,4,5
E47G057007,1,1,1,2,3,3,3
E46G064093,1,2,2,2,3,3,4
E47G082010,1,0,0,0,0,0,0
E47G064010,1,1,2,3,4,5,6
E46G066088,1,2,2,2,3,3,4
E47G062009,1,2,2,3,4,5,6
E46G069087,1,1,1,1,2,2,3
E46G090094,1,1,1,2,3,3,4
E47G071003,1,1,2,3,4,5,6
E46G071089,1,2,2,3,4,4,5
E47G081001,1,2,3,4,5,6,7
E47G058005,1,1,1,2,3,3,4
E46G059093,1,1,1,1,2,2,3
E47G075008,1,2,3,3,4,5,6
E47G083001,1,2,3,4,5,6,7
E46G090095,1,0,0,0,0,0,0
E46G089091,1,2,2,3,4,4,5
E46G073089,1,2,2,3,4,4,5
E46G070089,1,2,2,3,4,4,5
E46G058092,1,0,0,0,0,0,0
E47G079008,1,2,3,3,4,5,6
E46G077096,1,2,3,4,5,6,7
E46G075093,1,2,2,3,4,5,6
E46G089086,1,0,0,0,0,0,0
E47G083006,1,1,1,1,2,3,4
E46G090087,1,0,0,0,0,0,0
E46G071094,1,2,2,2,3,4,5
E46G070093,1,2,2,2,3,3,4
E47G060005,1,2,2,3,4,4,5
E46G071092,1,2,2,3,4,4,5
E47G060006,1,2,2,3,4,5,6
E46G068090,1,2,2,3,4,4,5
E46G062093,1,2,2,2,3,3,4
E47G063012,1,2,2,3,4,5,6
E47G069001,1,2,3,4,5,6,7
E47G063008,1,2,3,4,5,6,7
E47G071007,1,1,2,3,4,5,6
E46G074091,1,2,2,3,4,5,6
E47G082006,1,1,2,2,3,4,5
E46G083092,1,2,2,3,3,4,5
E47G066013,1,0,0,0,0,0,0
E47G084005,1,1,1,1,2,3,4
E47G060009,1,2,2,2,3,4,5
E46G073088,1,2,2,3,4,4,5
E47G068011,1,1,1,2,3,3,4
E46G073092,1,2,2,3,4,5,6
E47G056003,1,1,1,2,3,4,5
E46G078085,1,1,1,2,3,3,3
E47G081006,1,1,2,2,3,4,5
E47G057001,1,1,1,2,3,4,5
E46G068087,1,1,1,1,2,2,3
E47G072006,1,2,3,4,5,6,7
E46G064096,1,2,2,3,4,5,6
E46G071095,1,2,2,2,3,4,5
E46G079090,1,2,2,3,0,3,4
E46G085086,1,2,2,3,3,3,4
E47G066008,1,1,2,3,4,5,6
E47G072011,1,1,1,1,2,2,3
E47G075013,1,0,0,0,0,0,0
E47G085007,1,0,0,0,0,0,0
E47G063013,1,0,0,0,0,0,0
E47G071008,1,1,2,3,4,5,6
E47G081005,1,1,2,2,3,4,5
E46G082086,1,2,2,3,3,3,4
E47G067008,1,1,2,3,4,5,6
E46G088089,1,2,2,3,3,3,4
E47G063001,1,2,2,3,4,5,6
E46G067094,1,2,2,2,3,4,5
E47G063011,1,1,1,2,3,4,5
E46G069090,1,2,2,3,4,4,5
E47G059011,1,1,1,1,2,2,3
E46G068091,1,1,1,2,3,3,4
E47G057005,1,1,1,2,3,3,4
E47G075010,1,1,1,1,2,2,3
E47G072009,1,1,2,2,3,4,5
E46G067092,1,2,2,3,4,4,5
E47G079001,1,2,3,4,5,6,7
E46G079092,1,2,2,3,0,4,5
E46G074084,1,1,1,2,3,3,4
E46G074088,1,2,2,3,4,4,5
E47G080005,1,1,2,3,4,5,6
E47G070003,1,1,2,3,4,5,6
